,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
3982,False,/7OwKgRZtv2wKrqMJGzs6NkritT0.jpg,"[18, 53, 9648]",184352,fr,Tom à la ferme,"A young man travels to an isolated farm for his lover's funeral where he's quickly drawn into a twisted, sexually charged game by his lover's aggressive brother.",14.017,/df7pp0jSs4wRxfWHtdgCaDPelmm.jpg,2014-04-16,Tom at the Farm,False,6.8,800
3983,False,/wdPMV9AieVr38ox3l0rAGDIJFUW.jpg,"[10751, 16, 14]",16366,en,Joseph: King of Dreams,"In this animated retelling of the story from the Bible's Book of Genesis, Joseph's gift of dream interpretation and his brilliantly colored coat inspires jealousy in his brothers.",50.369,/sUKImRHScrjrvaG2FwxCRY5ldtx.jpg,2000-11-07,Joseph: King of Dreams,False,6.8,972
3984,False,/842AcW0eLEIagMTXLdbGVSsDHLh.jpg,"[878, 28]",8974,en,The War of the Worlds,"The residents of a small town are excited when a flaming meteor lands in the hills, until they discover it is the first of many transport devices from Mars bringing an army of invaders invincible to any man-made weapon, even the atomic bomb.",36.406,/gzc75Za4ArqfXIIr7STNnIE5rnA.jpg,1953-08-13,The War of the Worlds,False,6.823,598
3985,False,/bNiBuekwqwNKFGSqlJRDZIF4ADB.jpg,"[10402, 35]",2005,en,Sister Act,"A Reno singer witnesses a mob murder and the cops stash her in a nunnery to protect her from the mob's hitmen. The mother superior does not trust her, and takes steps to limit her influence on the other nuns. Eventually the singer rescues the failing choir and begins helping with community projects, which gets her an interview on TV—and identification by the mob.",26.156,/nn0XTBqZf8Q3iXPApE9OQevrYZY.jpg,1992-05-28,Sister Act,False,6.823,3096
3986,False,/sVakfYqdbBglnIOjOAV6fGkaXfw.jpg,"[28, 18, 14]",1494,zh,滿城盡帶黃金甲,"During China's Tang dynasty the emperor has taken the princess of a neighboring province as his wife. She has borne him two sons and raised his eldest. Now his control over his dominion is complete, including the royal family itself.",41.573,/gHkkDpfo5YnOrbVfwtDHi91BkrU.jpg,2006-12-14,Curse of the Golden Flower,False,6.823,703
3987,False,/17s9ojb8j8QnBGCfqDUJraXLlFi.jpg,"[16, 14, 27]",919,ja,BLOOD THE LAST VAMPIRE,"In Japan, the vampire-hunter Saya, who is a powerful original, is sent by her liaison with the government, David, posed as a teenage student to the Yokota High School on the eve of Halloween to hunt down vampires. Saya asks David to give a new katana to her. Soon she saves the school nurse Makiho Amano from two vampires disguised of classmates and Makiho witnesses her fight against the powerful demon.",19.566,/2yysSRyqa4ubIDpQcQpG8SuYcl6.jpg,2000-11-18,Blood: The Last Vampire,False,6.823,313
3988,False,/9zXPnbVpaDfTniLBuc5vgXGfzAP.jpg,"[28, 53, 80]",818397,en,Memory,"Alex, an assassin-for-hire, finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. With the crime syndicate and FBI in hot pursuit, Alex has the skills to stay ahead, except for one thing: he is struggling with severe memory loss, affecting his every move. Alex must question his every action and whom he can ultimately trust.",44.017,/4Q1n3TwieoULnuaztu9aFjqHDTI.jpg,2022-04-28,Memory,False,6.822,1442
3989,False,/8gc00CJuQKNToUJq1cAmTtb4zmc.jpg,"[28, 16, 12, 35, 14, 878]",39144,ja,ドラゴンボール 神龍の伝説,The great King Gurumes is searching for the Dragon Balls in order to put a stop to his endless hunger. A young girl named Pansy who lives in the nearby village has had enough of the treachery and decides to seek Muten Rōshi for assistance. Can our heroes save the village and put a stop to the Gurumes Army?,48.506,/dZCWRFJnwyxYOhzAhf7Xyru4moB.jpg,1986-12-20,Dragon Ball: Curse of the Blood Rubies,False,6.832,318
3990,False,/p8QeB34ou1qd38xoCxTUE5AauHJ.jpg,[37],11617,en,Rio Grande,"Lt. Col. Kirby Yorke is posted on the Texas frontier to defend settlers against depredations of marauding Apaches. Col. Yorke is under considerable stress by a serious shortage of troops of his command. Tension is added when Yorke's son (whom he hasn't seen in fifteen years), Trooper Jeff Yorke, is one of 18 recruits sent to the regiment.",20.495,/zYoK2RkBCmyhIV6UUb6EZLqxmZq.jpg,1950-11-15,Rio Grande,False,6.8,315
3991,False,/smkfmluUB2EhgpWAj27mbKlvYgQ.jpg,"[18, 53]",2652,en,Hard Candy,"Hayley’s a smart, charming teenage girl. Jeff’s a handsome, smooth fashion photographer. An Internet chat, a coffee shop meet-up, an impromptu fashion shoot back at Jeff’s place. Jeff thinks it’s his lucky night. He’s in for a surprise.",26.803,/uHTmlcivbPeclEdmtuQg3zOQWPS.jpg,2005-01-14,Hard Candy,False,6.822,2480
